,TYPE,STATUT,ADRESSE,ARRONDISSEMENT,HORAIRE,ACCES_PMR,RELAIS_BEBE,URL_FICHE_EQUIPEMENT,geo_shape,geo_point_2d,lon,lat
285,TOILETTES,,JARDIN VILLEMIN,75010,Voir fiche équipement,Non,Oui,https://www.paris.fr/equipements/jardin-villemin-1798,"{""coordinates"": [[2.360586587773963, 48.87495187562732]], ""type"": ""MultiPoint""}","48.87495187562732,2.360586587773963",2.360586587773963,48.87495187562732
286,TOILETTES,,JARDIN DE LA GARE DE CHARONNE,75020,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/jardin-de-la-gare-de-charonne-2693,"{""coordinates"": [[2.409416942955489, 48.85201539306615]], ""type"": ""MultiPoint""}","48.85201539306615,2.409416942955489",2.409416942955489,48.85201539306615
287,TOILETTES,,BOIS DE VINCENNES - PARC FLORAL DE PARIS - CHATEAU,75012,Voir fiche équipement,Oui,Oui,https://www.paris.fr/equipements/parc-floral-de-paris-1,"{""coordinates"": [[2.440768213104734, 48.8399284317324]], ""type"": ""MultiPoint""}","48.8399284317324,2.440768213104734",2.440768213104734,48.8399284317324
288,TOILETTES,,SQUARE EMMANUEL FLEURY,75020,Voir fiche équipement,Non,Oui,https://www.paris.fr/equipements/square-emmanuel-fleury-2720,"{""coordinates"": [[2.411264956080894, 48.8708129956025]], ""type"": ""MultiPoint""}","48.8708129956025,2.411264956080894",2.411264956080894,48.8708129956025
289,TOILETTES,,JARDIN PAUL DIDIER,75017,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/jardin-paul-didier-ex-colonel-manhes-2819,"{""coordinates"": [[2.320485641136297, 48.89546130163387]], ""type"": ""MultiPoint""}","48.89546130163387,2.320485641136297",2.320485641136297,48.89546130163387
290,SANISETTE,,79  BOULEVARD KELLERMANN,75013,6h/22h,Oui,Non,,"{""coordinates"": [[2.347726932055576, 48.819969758397754]], ""type"": ""MultiPoint""}","48.819969758397754,2.347726932055576",2.347726932055576,48.819969758397754
291,SANISETTE,,face au 30 AVENUE REILLE,75014,24h/24h,Oui,Non,,"{""coordinates"": [[2.339488403872547, 48.82454102425052]], ""type"": ""MultiPoint""}","48.82454102425052,2.339488403872547",2.339488403872547,48.82454102425052
292,SANISETTE,,face au 36 RUE DIDOT,75014,24h/24h,Oui,Non,,"{""coordinates"": [[2.320178958056874, 48.831657967806095]], ""type"": ""MultiPoint""}","48.831657967806095,2.320178958056874",2.320178958056874,48.831657967806095
293,SANISETTE,,1  AVENUE RENE COTY,75014,6h/22h,Oui,Non,,"{""coordinates"": [[2.332917144300073, 48.83313899250652]], ""type"": ""MultiPoint""}","48.83313899250652,2.332917144300073",2.332917144300073,48.83313899250652
294,SANISETTE,,57  RUE DE LA CHAPELLE,75018,6h/22h,Oui,Non,,"{""coordinates"": [[2.358838883116348, 48.89508955698618]], ""type"": ""MultiPoint""}","48.89508955698618,2.358838883116348",2.358838883116348,48.89508955698618
295,SANISETTE,,BOULEVARD D ALGERIE,75019,6h/22h,Oui,Non,,"{""coordinates"": [[2.400408793867472, 48.880680241510866]], ""type"": ""MultiPoint""}","48.880680241510866,2.400408793867472",2.400408793867472,48.880680241510866
296,SANISETTE,,AVENUE DE LA PORTE BRUNET,75019,6h/22h,Oui,Non,,"{""coordinates"": [[2.397859680104272, 48.88389762041914]], ""type"": ""MultiPoint""}","48.88389762041914,2.397859680104272",2.397859680104272,48.88389762041914
297,SANISETTE,,37  BOULEVARD DES CAPUCINES,75002,6h/22h,Oui,Non,,"{""coordinates"": [[2.329345376568483, 48.870058233825205]], ""type"": ""MultiPoint""}","48.870058233825205,2.329345376568483",2.329345376568483,48.870058233825205
298,SANISETTE,,123  RUE SAINT ANTOINE,75004,24h/24h,Oui,Non,,"{""coordinates"": [[2.360419701884549, 48.85530319788792]], ""type"": ""MultiPoint""}","48.85530319788792,2.360419701884549",2.360419701884549,48.85530319788792
299,SANISETTE,,RUE DE L AVE MARIA,75004,6h/22h,Oui,Non,,"{""coordinates"": [[2.359582804553574, 48.85321055139778]], ""type"": ""MultiPoint""}","48.85321055139778,2.359582804553574",2.359582804553574,48.85321055139778
300,SANISETTE,,2  RUE MORNAY,75004,6h/22h,Oui,Non,,"{""coordinates"": [[2.366123193813519, 48.849474962211744]], ""type"": ""MultiPoint""}","48.849474962211744,2.366123193813519",2.366123193813519,48.849474962211744
301,SANISETTE,,9  BOULEVARD SAINT GERMAIN,75005,6h/22h,Oui,Non,,"{""coordinates"": [[2.354846182358385, 48.849330262603885]], ""type"": ""MultiPoint""}","48.849330262603885,2.354846182358385",2.354846182358385,48.849330262603885
302,SANISETTE,,2  PLACE JOFFRE,75007,24h/24h,Oui,Non,,"{""coordinates"": [[2.305083210870264, 48.854301176148155]], ""type"": ""MultiPoint""}","48.854301176148155,2.305083210870264",2.305083210870264,48.854301176148155
303,SANISETTE,,45  BOULEVARD DE ROCHECHOUART,75018,24h/24h,Oui,Non,,"{""coordinates"": [[2.343497799728155, 48.882709085896316]], ""type"": ""MultiPoint""}","48.882709085896316,2.343497799728155",2.343497799728155,48.882709085896316
304,TOILETTES,,SQUARE SAMUEL ROUSSEAU,75007,Voir fiche équipement,Oui,Non,https://www.paris.fr/equipements/square-samuel-rousseau-2467,"{""coordinates"": [[2.319582882629932, 48.85917224498334]], ""type"": ""MultiPoint""}","48.85917224498334,2.319582882629932",2.319582882629932,48.85917224498334
305,TOILETTES,,SQUARES DES ARENES DE LUTECE ET CAPITAN,75005,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/square-des-arenes-de-lutece-et-square-capitan-1760,"{""coordinates"": [[2.35324384799468, 48.845456222716194]], ""type"": ""MultiPoint""}","48.845456222716194,2.35324384799468",2.35324384799468,48.845456222716194
